order_item_id,order_id,product_id,quantity,price_per_unit
1,1,668,3,108.18
2,2,84,3,301.41
3,3,152,2,632.03
4,4,218,4,459.94
5,5,436,1,162.69
6,6,286,1,24.48
7,7,296,3,233.0
8,8,505,3,199.35
9,9,515,1,140.19
10,10,328,5,714.67
11,11,214,1,599.4
12,12,18,2,520.28
13,13,614,5,333.69
14,14,245,3,165.96
15,15,653,2,140.56
16,16,371,3,184.23
17,17,152,5,632.03
18,18,391,2,113.4
19,19,370,3,638.1
20,20,629,4,270.96
21,21,412,4,147.0
22,22,668,2,108.18
23,23,129,3,650.88
24,24,575,3,446.24
25,25,217,3,326.55
26,26,537,5,245.53
27,27,525,2,254.72
28,28,524,2,177.62
29,29,137,5,232.23
30,30,606,3,660.66
31,31,459,1,285.69
32,32,245,4,165.96
33,33,762,4,595.06
34,34,359,2,191.3
35,35,463,2,42.12
36,36,763,5,312.25
37,37,430,4,521.67
38,38,322,1,47.14
39,39,251,5,128.58
40,40,275,2,294.03
41,41,591,4,698.61
42,42,520,5,414.69
43,43,653,3,140.56
44,44,276,2,388.8
45,45,751,5,747.42
46,46,98,4,722.75
47,47,616,5,158.73
48,48,54,3,547.68
49,49,543,1,458.26
50,50,299,4,181.91
51,51,321,3,104.9
52,52,683,1,43.99
53,53,632,2,704.78
54,54,612,4,222.06
55,55,508,4,674.06
56,56,517,1,576.27
57,57,633,4,125.31
58,58,478,1,350.43
59,59,587,1,404.89
60,60,154,5,273.08
61,61,642,4,196.95
62,62,695,4,708.36
63,63,81,2,648.56
64,64,614,2,333.69
65,65,65,2,94.39
66,66,629,1,270.96
67,67,469,3,513.62
68,68,81,1,648.56
69,69,438,1,488.24
70,70,542,3,459.93
71,71,559,4,82.09
72,72,108,2,99.07
73,73,442,5,494.75
74,74,264,1,323.36
75,75,169,2,125.59
76,76,196,5,465.0
77,77,296,1,233.0
78,78,425,2,591.0
79,79,200,4,65.62
80,80,310,1,507.9
81,81,734,2,52.81
82,82,277,2,641.41
83,83,247,1,33.15
84,84,256,1,238.53
85,85,347,3,573.57
86,86,310,4,507.9
87,87,575,4,446.24
88,88,175,5,206.62
89,89,337,5,15.79
90,90,499,1,479.94
91,91,747,1,386.6
92,92,447,3,568.11
93,93,514,4,544.2
94,94,391,4,113.4
95,95,334,1,506.19
96,96,11,2,207.63
97,97,749,4,706.54
98,98,319,5,376.0
99,99,584,2,152.5
100,100,579,1,215.07
101,101,298,2,431.24
102,102,454,3,275.91
103,103,557,5,359.19
104,104,596,1,634.94
105,105,323,5,66.84
106,106,319,2,376.0
107,107,431,3,155.3
108,108,757,2,475.0
109,109,604,4,181.45
110,110,443,1,481.77
111,111,420,3,651.48
112,112,507,5,668.79
113,113,304,4,162.03
114,114,557,2,359.19
115,115,48,5,181.29
116,116,446,3,519.45
117,117,491,5,700.54
