order_id,order_date,customer_id,seller_id,order_status
1,2023-10-16,260,43,Completed
2,2025-05-02,499,49,Completed
3,2025-04-02,863,46,Completed
4,2024-06-15,856,39,Completed
5,2023-08-24,27,1,Completed
6,2024-12-19,352,45,Completed
7,2023-12-13,140,14,Completed
8,2023-02-05,407,33,Completed
9,2024-10-16,716,24,Completed
10,2023-09-23,532,51,Returned
11,2024-05-09,785,53,Completed
12,2025-06-04,847,12,Returned
13,2022-07-13,248,22,Completed
14,2022-05-17,525,40,Cancelled
15,2023-11-26,157,6,Completed
16,2023-06-12,581,48,Completed
17,2024-03-14,536,33,Completed
18,2024-05-12,73,21,Inprogress
19,2022-04-10,688,1,Completed
20,2022-11-03,274,5,Completed
21,2023-08-09,647,4,Inprogress
22,2022-02-20,620,54,Returned
23,2022-11-13,891,18,Completed
24,2023-06-09,577,15,Completed
25,2022-10-10,818,33,Inprogress
26,2024-05-06,583,25,Completed
27,2022-12-20,600,7,Completed
28,2024-01-24,818,20,Completed
29,2023-03-24,284,17,Completed
30,2024-11-22,439,32,Completed
31,2024-08-18,870,51,Completed
32,2024-09-29,303,7,Returned
33,2022-11-22,124,35,Completed
34,2023-04-21,489,21,Completed
35,2022-10-20,62,42,Completed
36,2023-05-25,816,28,Returned
37,2022-09-26,467,33,Returned
38,2023-04-04,43,45,Completed
39,2023-07-26,19,39,Completed
40,2022-01-05,461,21,Completed
41,2025-05-02,615,43,Completed
42,2025-10-12,154,11,Completed
43,2024-03-25,847,39,Completed
44,2023-02-28,141,4,Completed
45,2024-05-29,861,21,Completed
46,2025-06-14,429,40,Completed
47,2023-12-25,793,29,Completed
48,2024-03-12,543,12,Completed
49,2023-05-30,250,21,Completed
50,2025-10-30,1,33,Completed
51,2022-11-11,590,18,Completed
52,2023-04-17,836,36,Completed
53,2024-11-17,307,27,Returned
54,2023-07-23,206,11,Completed
55,2022-08-05,813,45,Completed
56,2025-01-09,613,9,Completed
57,2025-04-26,280,54,Completed
58,2025-12-02,550,22,Completed
59,2023-03-19,718,5,Completed
60,2025-05-20,721,17,Completed
61,2025-10-21,656,49,Completed
62,2023-08-31,858,14,Completed
63,2024-01-19,333,32,Cancelled
64,2025-02-18,771,10,Completed
65,2025-10-07,137,40,Completed
66,2024-05-04,741,3,Completed
67,2024-03-24,108,44,Completed
68,2023-04-02,655,48,Completed
69,2025-03-18,476,4,Completed
70,2024-10-01,53,18,Completed
71,2024-06-23,594,13,Completed
72,2025-03-16,351,29,Completed
73,2025-06-17,258,2,Returned
74,2023-11-13,82,3,Completed
75,2023-06-13,8,40,Completed
76,2024-02-25,816,35,Completed
77,2022-10-01,752,24,Completed
78,2024-11-15,523,45,Completed
79,2025-04-03,342,41,Completed
80,2025-04-14,328,27,Completed
81,2023-05-23,535,45,Completed
82,2022-10-20,800,45,Completed
83,2022-10-02,83,26,Completed
84,2022-10-19,789,30,Completed
85,2024-12-24,467,4,Completed
86,2025-04-13,647,15,Completed
87,2022-12-21,356,6,Completed
88,2022-06-17,133,17,Returned
89,2025-03-11,701,25,Completed
90,2025-04-23,438,10,Completed
91,2024-06-05,274,23,Completed
92,2024-11-17,824,29,Completed
93,2024-03-11,81,20,Completed
94,2022-10-13,590,5,Completed
95,2022-10-25,108,53,Completed
96,2022-04-08,511,21,Completed
97,2024-10-30,376,10,Completed
98,2023-11-24,81,11,Inprogress
99,2022-04-12,16,47,Inprogress
100,2025-02-04,187,48,Completed
101,2022-05-21,712,30,Completed
102,2022-08-14,530,11,Completed
103,2023-07-25,397,36,Completed
104,2024-02-22,188,5,Completed
105,2025-01-13,304,36,Completed
106,2023-06-27,273,12,Completed
107,2022-05-15,862,48,Returned
108,2024-10-29,666,1,Inprogress
109,2025-01-22,205,2,Completed
110,2024-07-17,275,33,Returned
111,2022-01-17,315,49,Completed
112,2025-03-18,279,26,Completed
113,2025-03-05,402,44,Completed
114,2022-04-30,209,1,Completed
115,2025-08-14,9,3,Completed
116,2024-05-07,407,44,Completed
117,2022-02-12,504,9,Returned
118,2023-02-18,734,7,Returned
119,2024-11-11,207,43,Completed
120,2024-06-28,318,45,Completed
121,2023-01-19,713,54,Inprogress
122,2022-08-09,280,2,Completed
