shipping_id,order_id,shipping_date,return_date,shipping_provider,delivery_status
1,1,2023-10-19,,DTDC,Delivered
2,2,2025-05-05,,DHL,Delivered
3,3,2025-04-05,,BlueDart,Delivered
4,4,2024-06-18,,BlueDart,Delivered
5,5,2023-08-27,,BlueDart,Delivered
6,6,2024-12-22,,BlueDart,Delivered
7,7,2023-12-16,,BlueDart,Delivered
8,8,2023-02-08,,DHL,Delivered
9,9,2024-10-19,,DTDC,Delivered
10,10,2023-09-26,2023-10-01,FedEx,Returned
11,11,2024-05-12,,FedEx,Delivered
12,12,2025-06-07,2025-06-12,DTDC,Returned
13,13,2022-07-16,,DTDC,Delivered
14,15,2023-11-29,,UPS,Delivered
15,16,2023-06-15,,UPS,Delivered
16,17,2024-03-17,,UPS,Delivered
17,19,2022-04-13,,DTDC,Delivered
18,20,2022-11-06,,FedEx,Delivered
19,22,2022-02-23,2022-02-28,DTDC,Returned
20,23,2022-11-16,,FedEx,Delivered
21,24,2023-06-12,,DHL,Delivered
22,26,2024-05-09,,UPS,Delivered
23,27,2022-12-23,,DTDC,Delivered
24,28,2024-01-27,,UPS,Delivered
25,29,2023-03-27,,DTDC,Delivered
26,30,2024-11-25,,BlueDart,Delivered
27,31,2024-08-21,,UPS,Delivered
28,32,2024-10-02,2024-10-07,DHL,Returned
29,33,2022-11-25,,FedEx,Delivered
30,34,2023-04-24,,DHL,Delivered
31,35,2022-10-23,,BlueDart,Delivered
32,36,2023-05-28,2023-06-02,DHL,Returned
33,37,2022-09-29,2022-10-04,DTDC,Returned
34,38,2023-04-07,,DHL,Delivered
35,39,2023-07-29,,BlueDart,Delivered
36,40,2022-01-08,,UPS,Delivered
37,41,2025-05-05,,DHL,Delivered
38,42,2025-10-15,,BlueDart,Delivered
39,43,2024-03-28,,BlueDart,Delivered
40,44,2023-03-03,,DHL,Delivered
41,45,2024-06-01,,DHL,Delivered
42,46,2025-06-17,,UPS,Delivered
43,47,2023-12-28,,BlueDart,Delivered
44,48,2024-03-15,,UPS,Delivered
45,49,2023-06-02,,BlueDart,Delivered
46,50,2025-11-02,,BlueDart,Delivered
47,51,2022-11-14,,FedEx,Delivered
48,52,2023-04-20,,BlueDart,Delivered
49,53,2024-11-20,2024-11-25,DHL,Returned
50,54,2023-07-26,,DTDC,Delivered
51,55,2022-08-08,,UPS,Delivered
52,56,2025-01-12,,DHL,Delivered
53,57,2025-04-29,,FedEx,Delivered
